# Dataset: annual dissolved oxygen at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Dissolved oxygen'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_NW805180,E1AUHKARHEINENORDEU,EMS,52.30786,7.42164,2008,10.0437,7.7,13.2,32,mg/L,Emsland,control,20.865,Ems,upstream,,,,,0
DESM_DENI_59942126,OTTERNDORF,MEDEM,53.80612,8.89815,2012,7.16667,3.3,11.1,12,mg/L,Brokdorf,control,29.807,,off_river,,,,,0
DESM_BWU47,KOCHENDORF,NECKAR AB ENZ OBERHALB KOCHER (TBG 46),49.21644,9.21007,2008,9.41154,6.1,12.8,26,mg/L,Neckarwestheim 1,partial,19.663,Neckar,downstream,Neckarwestheim 1,partial,11.3,10-25,1
DESM_BWU45,POPPENWEILER,NECKAR AB FILS OBERHALB ENZ (TBG 42),48.91262,9.24781,2008,9.48,6.1,12.9,25,mg/L,Neckarwestheim 1,partial,15.243,Neckar,upstream,,,,,0
DESM_BWU46,BESIGHEIM,NECKAR AB FILS OBERHALB ENZ (TBG 42),49.00129,9.14739,2008,9.20385,5.6,12.7,26,mg/L,Neckarwestheim 1,partial,4.863,Neckar,upstream,,,,,0
DESM_DENI_45752064,HESSOLDENDORF/FUHLEN,WESER,52.15799,9.24872,2012,10.5833,7.7,13.8,12,mg/L,Grohnde,control,17.661,Weser,downstream,Grohnde,control,16.6,10-25,0
DESM_DENI_93912880,NENNDORF,HARLE / ABENSER LEIDE,53.59162,7.78604,2012,8.96667,5.4,11.2,12,mg/L,Unterweser,treatment,49.148,,off_river,,,,,0
DESM_BWU51,ULMWIBLINGEN,DONAU AB RIß OBERHALB ILLER (TBG 64),48.37289,9.96429,2008,10.3923,8.4,12.4,26,mg/L,Gundremmingen C,staggered_treatment,35.748,Danube,upstream,,,,,0
DESM_DENI_49282075,HOLZKAMP003,DELME UNTERLAUF OBERHALB DELMENHORST,53.00301,8.57217,2012,10.2083,8.6,12.2,12,mg/L,Unterweser,treatment,47.747,,off_river,,,,,0
DESM_BWU24,BESIGHEIM,ENZ UNTERHALB GLEMS,48.99756,9.14213,2008,9.876,7.6,12.8,25,mg/L,Neckarwestheim 1,partial,5.402,,off_river,,,,,0
DESM_BWU27,KOCHENDORF,KOCHER UNTERHALB OHRN,49.22325,9.20766,2008,10.712,7.4,13.4,25,mg/L,Neckarwestheim 1,partial,20.393,,off_river,,,,,0
